id,rank,name,rating,matches,points,lastUpdatedOn
8019,1,Joe Root,895,,895,2025-02-17
12201,2,Harry Brook,876,,876,2025-02-17
6326,3,Kane Williamson,867,,867,2025-02-17
13940,4,Yashasvi Jaiswal,847,,847,2025-02-17
2250,5,Steven Smith,823,,823,2025-02-17
8583,6,Temba Bavuma,769,,769,2025-02-17
10940,7,Kamindu Mendis,761,,761,2025-02-17
8497,8,Travis Head,748,,748,2025-02-17
9812,9,Saud Shakeel,739,,739,2025-02-17
10744,9,Rishabh Pant,739,,739,2025-02-17
6635,9,Usman Khawaja,739,,739,2025-02-17
10713,12,Daryl Mitchell,725,,725,2025-02-17
6245,13,Dinesh Chandimal,708,,708,2025-02-17
9468,14,Mohammad Rizwan,671,,671,2025-02-17
8502,15,Ben Duckett,669,,669,2025-02-17
